Type Animal FOV Scan_type Valid BPM Diameter Max_flow Speed_change Area_change Compliance
ATX E1 1 ThreeD_rfa 1 342 51 1.48544 0 0 0 
ATX E1 1 X 0 353 0 1.48544 0 0 0 
ATX E1 1 Y 0 335 0 1.48544 0 0 0 
ATX E1 2 ThreeD_rfa 1 382 68 3.31541 0 0 0 
ATX E1 2 X 1 385 73.0147 3.31541 1.4907 0.594907 4.48186 
ATX E1 2 Y 1 381 64.2728 3.31541 3.07569 0.225318 0.19491 
ATX E1 3 ThreeD_rfa 1 476 121 24.5826 0 0 0 
ATX E1 3 X 1 477 110.757 24.5826 1.73228 0.760546 9.05619 
ATX E1 3 Y 1 479 121.339 24.5826 2.30041 0.757161 9.70361 
ATX E1 4 ThreeD_rfa 1 443 89 7.25483 0 0 0 
ATX E1 4 X 1 451 70.5804 7.25483 9.58237 2.3387 1.71027 
ATX E1 4 Y 1 452 73.5305 7.25483 2.7445 1.58544 7.12553 
ATX E1 5 ThreeD_rfa 0 407 0 0 0 0 0 
ATX E1 5 X 0 400 0 0 0 0 0 
ATX E1 5 Y 0 387 0 0 0 0 0 
ATX E2 1 ThreeD_rfa 1 605 104 16.8693 0 0 0 
ATX E2 1 X 1 609 95.9824 16.8693 0.212271 0.0781354 2.59089 
ATX E2 1 Y 1 607 103.373 16.8693 0.182584 0.062359 3.51585 
ATX E2 2 ThreeD_rfa 1 614 95 11.1087 0 0 0 
ATX E2 2 X 1 612 98.7084 11.1087 0.137321 0.025007 1.68549 
ATX E2 2 Y 1 612 81.5768 11.1087 0.0995629 0.0140285 0.401551 
ATX E2 3 ThreeD_rfa 0 642 0 0 0 0 0 
ATX E2 3 X 0 635 0 0 0 0 0 
ATX E2 3 Y 0 636 0 0 0 0 0 
ATX E2 4 ThreeD_rfa 1 648 162 13.4888 0 0 0 
ATX E2 4 X 0 657 0 13.4888 0 0 0 
ATX E2 4 Y 1 656 150.443 13.4888 0.839009 -0.012055 0 
ATX E2 5 ThreeD_rfa 1 646 118 27.9551 0 0 0 
ATX E2 5 Slice 1 646 110.526 27.9551 0.154693 0.013121 0.536056 
ATX E2 5 X 1 640 112.482 27.9551 0.208286 0.0387769 1.50428 
ATX E2 5 Y 1 646 119.59 27.9551 0.278152 0.0985934 5.48047 
ATX E3 1 ThreeD_rfa 1 587 109 21.1967 0 0 0 
ATX E3 1 X 1 590 115.929 21.1967 0.12954 0.0986016 34.9236 
ATX E3 1 Y 1 588 100.235 21.1967 0.0780157 0.0557615 11.2054 
ATX E3 2 ThreeD_rfa 1 596 83 9.10754 0 0 0 
ATX E3 2 X 1 578 104.6 9.10754 2.66072 0.975435 14.4837 
ATX E3 2 Y 1 591 81.3435 9.10754 1.76662 0.402946 1.20054 
ATX E3 3 ThreeD_rfa 1 543 108 15.2101 0 0 0 
ATX E3 3 X 1 555 118.795 15.2101 0.156035 0.0275522 3.53753 
ATX E3 3 Y 1 551 123.008 15.2101 0.123455 0.0711382 28.7198 
ATX E3 4 ThreeD_rfa 1 556 83 9.3405 0 0 0 
ATX E3 4 X 1 556 76.2508 9.3405 0.127837 0.0562755 1.60714 
ATX E3 4 Y 1 555 81.3435 9.3405 0.104033 0.0641089 4.82506 
ATX E3 5 ThreeD_rfa 0 530 0 0 0 0 0 
ATX E3 5 X 0 537 0 0 0 0 0 
ATX E3 5 Y 0 532 0 0 0 0 0 
ATX E4 1 ThreeD_rfa 1 582 109 2.79747 0 0 0 
ATX E4 1 X 1 584 102.777 2.79747 0.210896 0.0795114 24.2955 
ATX E4 1 Y 0 583 0 2.79747 0 0 0 
ATX E4 2 ThreeD_rfa 1 608 79 0.967301 0 0 0 
ATX E4 2 X 0 601 0 0.967301 0 0 0 
ATX E4 2 Y 0 604 0 0.967301 0 0 0 
ATX E4 3 ThreeD_rfa 1 612 89 8.9918 0 0 0 
ATX E4 3 X 1 615 100.865 8.9918 0.102471 0.122798 0 
ATX E4 3 Y 1 616 87.7432 8.9918 0.0695705 0.0230835 2.32209 
ATX E4 4 ThreeD_rfa 1 612 73 6.42988 0 0 0 
ATX E4 4 X 1 607 91.9904 6.42988 0.207924 0.0866391 6.54703 
ATX E4 4 Y 1 607 84.4564 6.42988 0.19103 0.00957018 0.272119 
ATX E4 5 ThreeD_rfa 1 613 105 19.5109 0 0 0 
ATX E4 5 X 1 604 79.6758 19.5109 0.16179 0.152455 22.5399 
ATX E4 5 Y 1 609 97.8448 19.5109 0.117972 0.0217271 0.921057 
ATX E5 1 ThreeD_rfa 1 539 130 16.4109 0 0 0 
ATX E5 1 X 1 548 103.34 16.4109 0.0879554 0.0465251 7.69331 
ATX E5 1 Y 1 552 105.223 16.4109 0.079579 0.027752 4.00666 
ATX E5 2 ThreeD_rfa 1 527 60 8.8838 0 0 0 
ATX E5 2 X 1 548 63.3462 8.8838 0.10825 0.0782725 1.943 
ATX E5 2 Y 1 530 53.2626 8.8838 0.0614246 0.0151373 0.0837261 
ATX E5 3 ThreeD_rfa 0 525 0 0 0 0 0 
ATX E5 3 X 1 520 76.0206 0 0.241075 0.103008 0 
ATX E5 3 Y 1 530 24.1758 0 0.174041 0.0634618 0 
ATX E5 4 ThreeD_rfa 1 524 51 0.992622 0 0 0 
ATX E5 4 X 0 519 0 0.992622 0 0 0 
ATX E5 4 Y 1 533 56.2913 0.992622 0.185636 0.0480011 1.13689 
ATX E5 5 ThreeD_rfa 1 533 87 3.45933 0 0 0 
ATX E5 5 X 1 517 88.8059 3.45933 0.111746 0.0369997 6.54479 
ATX E5 5 Y 1 507 98.6299 3.45933 0.139295 0.0328779 7.53268 
ATX E6 1 ThreeD_rfa 1 519 113 19.3192 0 0 0 
ATX E6 1 Y 1 483 88.5364 19.3192 0.217556 0.0838449 1.52421 
ATX E6 2 ThreeD_rfa 1 528 50 4.89558 0 0 0 
ATX E6 2 X 0 537 0 4.89558 0 0 0 
ATX E6 2 Y 0 534 0 4.89558 0 0 0 
ATX E6 3 ThreeD_rfa 1 533 127 29.0654 0 0 0 
ATX E6 3 X 1 527 113.331 29.0654 0.0547919 0.0258862 5.84712 
ATX E6 3 Y 1 534 116.856 29.0654 0.0366436 0.00687448 1.7727 
ATX E6 4 ThreeD_rfa 1 511 101 6.14364 0 0 0 
ATX E6 4 X 0 524 0 6.14364 0 0 0 
ATX E6 4 Y 0 526 0 6.14364 0 0 0 
ATX E6 5 ThreeD_rfa 0 484 0 0 0 0 0 
ATX E6 5 X 0 501 0 0 0 0 0 
ATX E6 5 Y 0 494 0 0 0 0 0 
ATX V5 1 Y 0 155 124.323 0 0.140521 0.0629138 0 
ATX V5 1 ThreeD 0 149 0 0 0 0 0 
ATX V5 1 X 0 169 161.58 0 0.109339 0.0385283 0 
ATX V5 2 X 0 167 120.388 0 0.331885 0.141193 0 
ATX V5 3 X 0 168 89.5457 0 0.0320304 0.00840827 0 
ATX V5 4 ThreeD_rfa 0 163 133 9.95311 0 0 0 
ATX V5 4 X 0 164 111.667 9.95311 0.258226 0.0761445 7.66594 
ATX V5 4 Y 0 164 106.755 9.95311 0.212326 0.055818 4.9215 
ATX V8 1 ThreeD_rfa 0 226 91.2407 9.15358 0 0 0 
ATX V8 1 X 0 227 86.7347 9.15358 0.254928 0.193455 15.7588 
ATX V8 1 Y 0 222 0 9.15358 0 0 0 
ATX V8 1 ThreeD_rfa 0 227 90.4876 9.15358 0 0 0 
ATX V8 2 ThreeD_rfa 0 212 70 5.75991 0 0 0 
ATX V8 2 X 0 211 81.9587 5.75991 0.247789 0.108002 4.09678 
ATX V8 2 Y 0 214 0 5.75991 0 0 0 
ATX V9 1 ThreeD_rfa 0 223 48 9.71929 0 0 0 
ATX V9 1 Slice 0 223 62.0901 9.71929 1.36493 0.915516 2.19086 
ATX V9 1 Y 0 222 61.2519 9.71929 1.61651 0.790626 0.889304 
ATX V9 2 X 0 220 0 0 0 0 0 
ATX V9 2 Y 0 218 0 0 0 0 0 
ATX V9 3 ThreeD_rfa 0 209 0 0 0 0 0 
ATX V9 3 X 0 213 0 0 0 0 0 
ATX V9 3 Y 0 211 0 0 0 0 0 
ATX V10 1 ThreeD_rfa 0 181 218 138.452 0 0 0 
ATX V10 1 X 0 168 206.169 138.452 0.399559 0.104532 18.044 
ATX V10 1 Y 0 181 209.104 138.452 0.384206 0.081653 14.6372 
ATX V10 2 ThreeD_rfa 0 181 0 0 0 0 0 
ATX V10 2 Slice 0 181 88.6835 0 0.224513 0.119594 0 
ATX V10 2 Slice 0 181 223.982 0 0.100716 0.0314641 0 
ATX V11 1 ThreeD_rfa 0 173 141 11.8203 0 0 0 
ATX V11 1 X 0 170 114.65 11.8203 0.303446 0.0934667 8.15487 
ATX V11 1 Y 0 171 0 11.8203 0 0 0 
CAT E8 1 ThreeD_rfa 0 465 0 0 0 0 0 
CAT E8 1 X 0 594 92.6624 0 0.0257718 0.000970958 0 
CAT E8 1 Y 0 595 80.4525 0 0.0560006 0.00598127 0 
CAT E8 2 ThreeD_rfa 0 513 85 10.2604 0 0 0 
CAT E8 2 X 0 441 49.5514 10.2604 0.0884695 -0.000513394 0 
